source,table,series,period,value
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1993,1.34
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1993,0.234
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1993,0.233
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Квыб ОФ,1993,0.014
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Kпрвt,1993,0.527
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1994,2.6
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1994,8.0
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1994,1.67
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1994,0.95
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1994,0.203
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1994,0.204
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Квыб ОФ,1994,0.026
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Kпрвt,1994,0.496
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1995,2.49
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1995,8.02
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1995,1.53
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1995,0.86
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1995,0.194
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1995,0.195
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Квыб ОФ,1995,0.015
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Kпрвt,1995,0.492
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1996,2.41
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1996,8.02
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1996,1.23
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1996,0.76
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1996,0.161
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Фондоотд. (ц.90г.),1996,0.189
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Квыб ОФ,1996,0.012
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Kпрвt,1996,0.53
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ВВП,1997,2.43
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",ОФ,1997,7.99
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",KB,1997,1.18
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Ввод ОФ,1997,0.76
3806_001,"Таблица 3.1. Базовые статистические данные, используемые в расчётах",Доля KB п ВВП (ц.90г.),1997,0.153
